"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","start_q","","text","Record ID","","Codice partecipante anonimo (16 caratteri)","","","","","","","","","","",""
"consent_informed","start_q","Consenso","yesno","Consenso informato","","Ho letto e compreso le informazioni e acconsento a partecipare allo studio","","","","","","y","","","","",""
"consent_privacy","start_q","","yesno","Consenso privacy","","Acconsento al trattamento dei dati secondo l'informativa sulla privacy","","","","","","y","","","","",""
"consent_timestamp","start_q","","text","Data e ora del consenso","","Formato ISO-8601: YYYY-MM-DDTHH:MM:SS","datetime_seconds_ymd","","","","","","","","","",""
"is_unito_student","start_q","Screening di Idoneità","radio","Sei uno/a studente/ssa UniTO?","0, No | 1, Sì","","","","","","","y","","","","",""
"age_group","start_q","","radio","Età","1, 18-21 anni | 2, 22-26 anni | 3, 27-30 anni | 99, Altro","","","","","","[is_unito_student] = '1'","y","","","","",""
"gender","start_q","Dati Demografici","radio","Qual è il genere con cui ti identifichi attualmente?","1, Uomo cisgender (sesso maschile alla nascita, identità di genere maschile) | 2, Uomo transgender (sesso femminile alla nascita, identità di genere maschile) | 3, Donna cisgender (sesso femminile alla nascita, identità di genere femminile) | 4, Donna transgender (sesso maschile alla nascita, identità di genere femminile) | 5, Non-binario (identità di genere al di fuori del binario uomo/donna) | 6, Altro | 7, Preferisco non rispondere","","","","","","[age_group] <> '99'","y","","","","",""
"gender_other_specify","start_q","","text","Specifica il genere","","","","","","","[gender] = '6'","","","","","",""
"nationality","start_q","","radio","Nazionalità","1, Italiana | 2, Non italiana","","","","","","[age_group] <> '99'","y","","","","",""
"field_of_study","start_q","","radio","Qual è il tuo ambito di studi?","1, Area Economica | 2, Area Giuridica e Politico-Sociale | 3, Area Sanitaria | 4, Area Scientifica | 5, Area Umanistica","","","","","","[age_group] <> '99'","y","","","","",""
"out_of_town","start_q","","radio","Sei uno studente fuorisede?","0, No | 1, Sì, provengo dalla stessa regione della mia Università | 2, Sì, provengo da una regione diversa da quella della mia Università","","","","","","[age_group] <> '99'","y","","","","",""
"living_arrangement","start_q","","radio","Attualmente con chi vivi?","1, Da solo/a | 2, Con i genitori | 3, Con parenti | 4, Con il/la partner | 5, Con coinquilini/e | 6, In dormitorio/residenza/collegio","","","","","","[age_group] <> '99'","y","","","","",""
"family_cohesion","start_q","","radio","Come giudichi il grado di coesione del tuo nucleo familiare?","1, Molto scarso | 2, Scarso | 3, Buono | 4, Ottimo | 5, Eccessivo","","","","","","[age_group] <> '99'","y","","","","",""
"relationship_status","start_q","","radio","Qual è il tuo stato sentimentale?","1, Single | 2, Impegnato/a","","","","","","[age_group] <> '99'","y","","","","",""
"sexual_orientation","start_q","","radio","Quale delle seguenti opzioni rappresenta meglio il modo in cui pensi a te stesso?","1, Omosessuale | 2, Eterosessuale | 3, Bisessuale | 4, Asessuale | 5, Utilizzo un termine diverso | 6, Non lo so | 7, Preferisco non rispondere","","","","","","[age_group] <> '99'","y","","","","",""
"sexual_orientation_other","start_q","","text","Specifica il termine che utilizzi","","","","","","","[sexual_orientation] = '5'","","","","","",""
"psychiatric_relatives","start_q","Salute e Benessere","yesno","Hai parenti di primo/secondo grado con patologie psichiatriche diagnosticate?","","","","","","","[age_group] <> '99'","y","","","","",""
"psychologist_care","start_q","","yesno","Sei attualmente in cura da uno psicologo?","","","","","","","[age_group] <> '99'","y","","","","",""
"psychiatrist_care","start_q","","yesno","Sei attualmente in cura da uno psichiatra?","","","","","","","[age_group] <> '99'","y","","","","",""
"psychiatric_diagnosis","start_q","","yesno","Hai una diagnosi di patologia psichiatrica?","","","","","","","[age_group] <> '99'","y","","","","",""
"chronic_condition","start_q","","yesno","Soffri di una patologia cronica?","","","","","","","[age_group] <> '99'","y","","","","",""
"economic_situation","start_q","","radio","Come giudichi la situazione economica della tua famiglia rispetto alle tue necessità?","1, Insufficiente | 2, Scarsa | 3, Adeguata | 4, Ottima","","","","","","[age_group] <> '99'","y","","","","",""
"employment_status","start_q","","radio","Hai un lavoro?","0, No | 1, Sì, per necessità e mi mantengo quasi/del tutto autonomamente | 2, Sì, per necessità ma non riesco a mantenermi | 3, Sì, ma non per necessità","","","","","","[age_group] <> '99'","y","","","","",""
"sport_frequency","start_q","Stile di Vita","radio","Pratichi sport?","0, No | 1, Sì, saltuariamente (meno di 1 volta a settimana) | 2, Sì, meno di 90 minuti a settimana | 3, Sì, più di 90 minuti a settimana","","","","","","[age_group] <> '99'","y","","","","",""
"subst_cocaine","start_q","Uso di Sostanze - Nell'arco dell'ultimo mese, in media quante volte alla settimana hai usato queste sostanze?","radio","Cocaina","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_hashish","start_q","","radio","Hashish","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_marijuana","start_q","","radio","Marijuana","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_synth_cannabinoids","start_q","","radio","Cannabinoidi sintetici (es. Spice, K2)","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_heroin","start_q","","radio","Eroina","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_mdma","start_q","","radio","MDMA / metanfetamine / anfetamine","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_hallucinogens","start_q","","radio","Allucinogeni (LSD, Psilocibina, funghi, Salvia Divinorum)","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_opioids","start_q","","radio","Farmaci oppiacei senza prescrizione medica","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_benzodiazepines","start_q","","radio","Benzodiazepine senza prescrizione medica","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_ketamine","start_q","","radio","Ketamina","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"subst_methadone","start_q","","radio","Metadone","1, Mai usata | 2, 1 volta | 3, 2-5 volte | 4, 6-10 volte | 5, Più di 10 volte","","","","","","[age_group] <> '99'","y","","","","",""
"cigarettes_per_day","start_q","Fumo e Alcol","radio","Quante sigarette fumi al giorno?","0, Non fumo | 1, 0-5 sigarette a settimana | 2, 1-5 sigarette al giorno | 3, 6-10 sigarette al giorno | 4, 11-15 sigarette al giorno | 5, 16-20 sigarette al giorno | 6, Più di 20 sigarette al giorno","","","","","","[age_group] <> '99'","y","","","","",""
"alcohol_frequency","start_q","","radio","Con quale frequenza assumi sostanze alcoliche?","1, Mai | 2, Mensilmente o meno | 3, 2-4 volte al mese | 4, 2-3 volte a settimana | 5, 4 o più volte a settimana","","","","","","[age_group] <> '99'","y","","","","",""
"alcohol_units","start_q","","radio","Quante unità alcoliche assumi in un giorno tipico di consumo?","1, 1-2 unità | 2, 3-4 unità | 3, 5-6 unità | 4, 7-9 unità | 99, Non applicabile","L'unità alcolica corrisponde a 12 grammi di etanolo, contenuti in una lattina di birra (330 ml), un bicchiere di vino (125 ml) o un bicchierino di liquore (40 ml).","","","","","[alcohol_frequency] <> '1'","y","","","","",""
"academic_performance_t0","start_q","Rendimento Accademico","radio","Come definiresti il tuo rendimento accademico nell'ultimo mese?","0, Nullo | 1, Molto scarso | 2, Scarso | 3, Buono | 4, Molto buono | 5, Ottimo","","","","","","[age_group] <> '99'","y","","","","",""
"other_device_usage_t0","start_q","","yesno","Negli ultimi 30 giorni hai utilizzato altri dispositivi oltre lo smartphone (es. PC, tablet...) per navigare sui Social Media?","","","","","","","[age_group] <> '99'","y","","","","",""
